环指僵硬,无名指僵硬
鳞状毛囊角化,鳞状毛周角化病
扁平细胞癌,鳞状上皮细胞癌
扁平细胞癌epidermoid carcino,鳞状上皮细胞癌
表皮样癌,鳞状上皮细胞癌
翻花疮,鳞状上皮细胞癌
棘细胞癌,鳞状上皮细胞癌
棘细胞瘤,鳞状上皮细胞癌
鳞癌,鳞状上皮细胞癌
鳞状细胞癌,鳞状上皮细胞癌
牙源性鳞状细胞瘤,鳞状牙源性瘤
流感性肺炎,流感病毒肺炎
B型流感嗜血杆菌感染,流感嗜血杆菌感染
流感杆菌脑膜炎,流感嗜血杆菌脑膜炎
流感嗜血杆菌性脑膜炎,流感嗜血杆菌脑膜炎
流感嗜血菌脑膜炎,流感嗜血杆菌脑膜炎
流感嗜血杆菌肺炎,流感嗜血杆菌性肺炎
流行性感冒伴心肌炎,流感性心肌炎
典型斑疹伤寒,流行性斑疹伤寒
虱传斑疹伤寒,流行性斑疹伤寒
朝鲜出血性肾病肾炎,流行性出血热
出血热肾病综合征,流行性出血热
出血性肾变病肾炎,流行性出血热
出血性肾炎肾病,流行性出血热
流行性出血热[肾综合征出血热],流行性出血热
流行性肾病,流行性出血热
肾综合征出血热,流行性出血热
阿波罗Ⅱ结膜炎,流行性出血性结膜炎
肠病毒性结膜炎,流行性出血性结膜炎
红眼病,流行性出血性结膜炎
急性出血性结膜炎,流行性出血性结膜炎
急性触染性结膜炎,流行性出血性结膜炎
急性流行性红眼病,流行性出血性结膜炎
流行性急性结膜炎,流行性出血性结膜炎
流感,流行性感冒
von Economo脑炎,流行性甲型脑炎
昏睡性脑炎,流行性甲型脑炎
甲型脑炎,流行性甲型脑炎
病毒性角结膜炎,流行性角膜结膜炎
病毒性角膜结膜炎,流行性角膜结膜炎
流行性角结膜炎,流行性角膜结膜炎
蛤蟆瘟,流行性腮腺炎
流腮,流行性腮腺炎
腮腺炎,流行性腮腺炎
痄腮,流行性腮腺炎
流行性腮腺炎并心肌炎,流行性腮腺炎伴心肌炎
日本脑炎,流行性乙型脑炎
日本乙型脑炎,流行性乙型脑炎
乙脑,流行性乙型脑炎
乙脑伴发的精神障碍,流行性乙型脑炎伴发的精神障碍
乙脑伴精神障碍,流行性乙型脑炎伴发的精神障碍
硫胺素缺乏,硫胺素缺乏
维生素B1缺乏(硫胺素缺乏),硫胺素缺乏
维生素B1缺乏[硫胺素缺乏],硫胺素缺乏
硫血红蛋白血症,硫化血红蛋白血症
瘤型麻风,瘤型(LL)麻风
几内亚虫感染,龙线虫病
几内亚线虫病,龙线虫病
龙线虫感染,龙线虫病
麦地那麦地那龙线虫传染,龙线虫病
麦地那丝虫病,龙线虫病
进行性复发性皮肤纤维瘤,隆突性皮肤纤维肉瘤
隆凸性皮肤纤维肉瘤,隆突性皮肤纤维肉瘤
皮肤肉瘤样纤维瘤,隆突性皮肤纤维肉瘤
骨盆出口狭窄引起胎盆不称,漏斗骨盆
漏斗骨盆[骨盆出口狭窄引起胎盆不称],漏斗骨盆
漏斗状胸,漏斗胸
Lutembacher综合征,卢滕巴赫综合征
卢滕巴赫综合征[Lutembacher综合征],卢滕巴赫综合征
基底凹陷症,颅底凹陷症
颅底内翻或颅底压迹,颅底凹陷症
颅缝骨化症,颅缝早闭
颅骨闭锁症,颅缝早闭
颅骨狭窄症,颅缝早闭
颅骨愈合症,颅缝早闭
颅狭小,颅缝早闭
颅狭窄畸形,颅缝早闭
颅狭症,颅缝早闭
狭颅症,颅缝早闭
颅骨局限性静脉曲张,颅骨骨膜窦
颅骨血管瘘,颅骨骨膜窦
颅骨血囊肿,颅骨骨膜窦
头颅骨折,颅骨骨折
颅骨破骨细胞瘤,颅骨巨细胞瘤
颅骨根尖周纤维瘤,颅骨纤维异常增生症
颅骨骨纤维结构不良,颅骨纤维异常增生症
颅骨良性根尖周纤维瘤,颅骨纤维异常增生症
颅骨纤维结构不良,颅骨纤维异常增生症
颅骨纤维异常增生,颅骨纤维异常增生症
颅骨纤维异常增殖症,颅骨纤维异常增生症
后颅凹室管膜瘤,颅后窝室管膜瘤
颅后窝室管膜细胞瘤,颅后窝室管膜瘤
后颅窝血肿,颅后窝血肿
颅脑损伤伴发的精神障碍,颅脑创伤伴发的精神障碍
脑外伤伴发的精神障碍,颅脑创伤伴发的精神障碍
低颅内压综合征,颅内低压综合征
颅内低压综合症,颅内低压综合征
脑脊液低压性头痛,颅内低压综合征
脑动脉血管瘤,颅内动脉瘤
脑内动脉瘤,颅内动脉瘤
先天性脑动脉瘤,颅内动脉瘤
海绵状血管畸形,颅内海绵状血管瘤
脑内海绵状血管瘤,颅内海绵状血管瘤
颅内黑素瘤,颅内黑色素瘤
脑内黑色素瘤,颅内黑色素瘤
脑内黑素瘤,颅内黑色素瘤
颅内积气[气颅症],颅内积气
气颅症,颅内积气
脑内畸胎瘤,颅内畸胎瘤
脑内脊索瘤,颅内脊索瘤
颅内静脉窦闭塞性颅内高血压,颅内静脉窦闭塞性颅高压
颅内静脉窦闭塞性颅内高压,颅内静脉窦闭塞性颅高压
颅内静脉窦闭塞性颅内压增高,颅内静脉窦闭塞性颅高压
颅内静脉系统血栓形成,颅内静脉血栓形成
非典型畸胎瘤,颅内生殖细胞瘤
颅内胚组织瘤,颅内生殖细胞瘤
脑内非典型畸胎瘤,颅内生殖细胞瘤
脑内胚生殖细胞瘤,颅内生殖细胞瘤
脑内胚组织瘤,颅内生殖细胞瘤
脑内生殖细胞瘤,颅内生殖细胞瘤
脑内松果体瘤,颅内生殖细胞瘤
胚生殖细胞瘤,颅内生殖细胞瘤
胚组织瘤,颅内生殖细胞瘤
颅内高压综合征,颅内压增高
颅内高压综合症,颅内压增高
颅内压升高,颅内压增高
颅内压增高综合征,颅内压增高
脑内脂肪瘤,颅内脂肪瘤
脑瘤,颅内肿瘤
中枢神经系统肿瘤,颅内肿瘤
颅内肿瘤伴发的精神病,颅内肿瘤伴发的精神障碍
颅内肿瘤伴发的精神错乱,颅内肿瘤伴发的精神障碍
颅内肿瘤伴发的精神紊乱,颅内肿瘤伴发的精神障碍
颅内肿瘤出血,颅内肿瘤性出血
颅内转移性肿瘤,颅内转移瘤
脑内转移瘤,颅内转移瘤
脑内转移性肿瘤,颅内转移瘤
埃尔德海姆瘤,颅咽管瘤
鞍上囊肿,颅咽管瘤
表皮瘤,颅咽管瘤
垂体柄肿瘤以及髓样癌,颅咽管瘤
垂体管瘤,颅咽管瘤
垂体管肿瘤,颅咽管瘤
蝶鞍上囊肿,颅咽管瘤
拉克囊肿瘤,颅咽管瘤
腊特克瘤,颅咽管瘤
腊特克氏瘤,颅咽管瘤
颅颊囊肿瘤,颅咽管瘤
颅咽管囊肿瘤,颅咽管瘤
上皮囊肿,颅咽管瘤
釉质瘤,颅咽管瘤
造釉细胞瘤,颅咽管瘤
中颅底脑膜瘤,颅中窝脑膜瘤
中颅窝脑脊膜瘤,颅中窝脑膜瘤
中颅窝脑膜瘤,颅中窝脑膜瘤
中颅窝硬脑脊)膜瘤,颅中窝脑膜瘤
中颅窝硬脑膜肉瘤,颅中窝脑膜瘤
Rubinstein-Taybi综合征,鲁宾斯坦-塔比综合征
鲁宾斯坦-塔比综合征[Rubinstein-Taybi综合征],鲁宾斯坦-塔比综合征
Rubinstein Taybi Syndrome,鲁宾斯坦-塔比综合征
鲁宾斯坦(氏)综合征,鲁宾斯坦-塔比综合征
鲁-塔二氏综合征,鲁宾斯坦-塔比综合征
Russell-Silver综合征,鲁塞尔-西尔弗综合征
鲁塞尔-西尔弗综合征[Russell-Silver综合征],鲁塞尔-西尔弗综合征
Alzheimer病伴帕金森改变,路易体痴呆
Alzheimer病路易体变异型,路易体痴呆
Alzheimer病路易体型,路易体痴呆
痴呆伴皮质路易体病,路易体痴呆
路易体型老年性痴呆,路易体痴呆
弥漫性Lewy体疾病,路易体痴呆
弥漫性路易体病,路易体痴呆
卵巢残余综合症,卵巢残余综合征
剩余卵巢综合征,卵巢残余综合征
卵巢表皮样囊肿,卵巢成熟畸胎瘤
卵巢成熟型畸胎瘤,卵巢成熟畸胎瘤
卵巢成熟性畸胎瘤,卵巢成熟畸胎瘤
卵巢良性畸胎瘤,卵巢成熟畸胎瘤
卵巢囊性畸胎瘤,卵巢成熟畸胎瘤
卵巢腹膜癌病,卵巢恶性腹膜间皮瘤
癌肉瘤,卵巢恶性中胚叶混合瘤
恶性中胚叶混合瘤,卵巢恶性中胚叶混合瘤
化生性癌,卵巢恶性中胚叶混合瘤
卵巢癌肉瘤,卵巢恶性中胚叶混合瘤
卵巢恶性混合性中胚叶瘤,卵巢恶性中胚叶混合瘤
卵巢米勒管混合瘤,卵巢恶性中胚叶混合瘤
卵泡发育不良,卵巢发育不良
卵巢功能缺如综合症,卵巢功能缺如综合征
女性去势综合征,卵巢功能缺如综合征
库蒂斯综合征,卵巢功能异常综合征
卵巢功能异常综合症,卵巢功能异常综合征
卵巢过度刺激综合症,卵巢过度刺激综合征
卵巢性索瘤伴环状小管,卵巢环管状性索肿瘤
卵巢两性胚细胞瘤,卵巢两性母细胞瘤
卵巢内胚窦瘤,卵巢卵黄囊瘤
卵巢粘液性瘤,卵巢黏液性肿瘤
卵巢粘液性肿瘤,卵巢黏液性肿瘤
卵巢巧囊破裂,卵巢巧克力囊肿破裂
卵巢子宫内膜异位囊肿破裂,卵巢巧克力囊肿破裂
卵巢巧克力囊肿,卵巢巧克力样囊肿
巧克力囊肿,卵巢巧克力样囊肿
卵巢明细胞肿瘤,卵巢透明细胞肿瘤
卵巢非成熟型畸胎瘤,卵巢未成熟畸胎瘤
卵巢未成熟性畸胎瘤,卵巢未成熟畸胎瘤
卵巢幼稚型畸胎瘤,卵巢未成熟畸胎瘤
生殖细胞瘤,卵巢无性细胞瘤
卵巢瘤样纤维组织增生,卵巢纤维瘤病
卵巢燕麦细胞癌,卵巢小细胞癌
卵巢燕麦形细胞癌,卵巢小细胞癌
卵巢功能性肿瘤,卵巢性索间质肿瘤
卵巢大片水肿,卵巢重度水肿
内胚窦瘤,卵黄囊瘤
Best病,卵黄状黄斑营养不良
多形黄斑变性,卵黄状黄斑营养不良
孤立性滤泡囊肿,卵泡囊肿
毛囊囊肿,卵泡囊肿
卵泡膜细胞增殖综合征,卵泡腺细胞增殖综合征
卵泡腺细胞增殖综合症,卵泡腺细胞增殖综合征
伦诺克斯-加斯托综合征[Lennox-Gastaut综合征],伦诺克斯-加斯托综合征
Lennox-Gastaut综合征,伦诺克斯-加斯托综合征
Lennox-Gastaut Syndrome,伦诺克斯-加斯托综合征
伦-加斯托二氏综合征,伦诺克斯-加斯托综合征
伦诺克斯-加斯托二氏综合征,伦诺克斯-加斯托综合征
伦诺克斯-加二氏综合征,伦诺克斯-加斯托综合征
有缘胎盘,轮廓胎盘
轮状病毒腹泻,轮状病毒胃肠炎
轮状病毒性胃肠炎,轮状病毒性肠炎
短时性肿胀,罗阿丝虫病
卡拉把丝虫肿,罗阿丝虫病
热带肿,罗阿丝虫病
眼丝虫病,罗阿丝虫病
Robinow-Silverman-Smith综合征,罗比诺-西尔弗曼-史密斯综合征
罗比诺-西尔弗曼-史密斯综合征[Robinow-Silverman-Smith综合征],罗比诺-西尔弗曼-史密斯综合征
鸡螺旋体病,螺菌病
小螺菌鼠咬热,螺菌病
瘰疬性皮肤结核,瘰疠性皮肤结核
瘰疬性皮肤结核病,瘰疠性皮肤结核
皮肤腺病,瘰疠性皮肤结核
液化性皮肤结核,瘰疠性皮肤结核
淋巴结分枝杆菌感染,瘰疬分枝杆菌感染
播散性毛囊性皮肤结核,瘰疬性苔藓
播散性毛囊性皮肤结核病,瘰疬性苔藓
结核性苔藓,瘰疬性苔藓
苔藓性皮肤结核,瘰疬性苔藓
苔藓样皮肤结核,瘰疬性苔藓
腺性苔藓,瘰疬性苔藓
瘢痕疙瘩样芽生菌病,洛博芽生菌病
瘢痕型芽生菌病,洛博芽生菌病
罗佰病,洛博芽生菌病
罗伯菌病,洛博芽生菌病
罗伯芽生菌病,洛博芽生菌病
立克氏立克次氏体斑疹热,落基山斑点热
立氏立克次体斑疹热,落基山斑点热
落矶山斑疹热,落基山斑点热
落基山斑疹热,落基山斑点热
蜱传斑疹伤寒,落基山斑点热
Rocky Mountain Spotted Fever,落基山斑点热
洛矶山斑疹热,落基山斑点热
蜱(传)热,落基山斑点热
Leiner病,落屑性红皮病
单纯型肺嗜酸粒细胞增多症,吕弗勒综合征
单纯性肺嗜酸细胞浸润症,吕弗勒综合征
单纯性肺嗜酸性粒细胞增多症,吕弗勒综合征
急性肺嗜酸粒细胞增多症,吕弗勒综合征
旅行性腹泻,旅行者腹泻
旅行者痢疾,旅行者腹泻
旅游者腹泻,旅行者腹泻
铝相关性骨病,铝骨病
铜绿假单胞菌感染,绿脓杆菌感染
铜绿假单胞杆菌肺炎,绿脓杆菌性肺炎
铜绿假单胞菌肺炎,绿脓杆菌性肺炎
铜绿色假单胞菌肺炎,绿脓杆菌性肺炎
粒细胞性肉瘤,绿色瘤
氯中毒,氯气中毒
小儿动力性肠梗阻,麻痹性肠梗阻
小儿痉挛性肠梗阻,麻痹性肠梗阻
梅毒性痴呆,麻痹性痴呆
梅毒性脑膜脑炎,麻痹性痴呆
全身麻痹性痴呆,麻痹性痴呆
全身性麻痹,麻痹性痴呆
麻痹性痴呆[梅毒性痴呆],麻痹性痴呆
Hansen病,麻风
大风,麻风
恶疾,麻风
寒生氏病,麻风
汉森病,麻风
汉森热,麻风
汉森氏热,麻风
疠风,麻风
麻风病,麻风
麻风[汉森病],麻风
Hansen病性葡萄膜炎,麻风性葡萄膜炎
Hansen病性色素膜炎,麻风性葡萄膜炎
麻风性色素膜炎,麻风性葡萄膜炎
葡萄膜麻风,麻风性葡萄膜炎
麻风性外周神经病,麻风性周围神经病
麻风性周围神经病变,麻风性周围神经病
麻疹感染,麻疹
小儿麻疹,麻疹
麻疹肺炎,麻疹病毒肺炎
发疹型药疹,麻疹型药疹
猩红热型药疹,麻疹型药疹
Madelung畸形,马德隆畸形
马德隆氏畸形,马德隆畸形
曲腕畸形,马德隆畸形
桡骨远端骨骺发育缺陷,马德隆畸形
先天性Madelung畸形,马德隆畸形
先天性腕关节半脱位,马德隆畸形
先天性远端尺桡关节半脱位,马德隆畸形
Madelung’s Disease,马德隆畸形
马德隆(氏)病,马德隆畸形
对称性脂肪过多症,马德隆畸形
先天性腕关节脱位,马德隆畸形
马堡病毒病,马尔堡病毒病
马尔堡病,马尔堡病毒病
播散性马尔尼菲青霉菌感染,马尔尼菲青霉病
马尔尼菲青霉菌病,马尔尼菲青霉病
马尼弗青霉菌病,马尔尼菲青霉病
马尼弗氏青霉菌病,马尔尼菲青霉病
Marfan综合征,马方综合征
马凡综合征,马方综合征
马凡综合症,马方综合征
马方综合征[Marfan综合征],马方综合征
马方综合症,马方综合征
先天性中胚层发育不良,马方综合征
肢体细长症,马方综合征
蜘蛛指征,马方综合征
Marfan Syndrome,马方综合征
马富西综合征[Maffucci综合征],马富西综合征
Maffucci综合征,马富西综合征
Maffucci Syndrome,马富西综合征
马富奇综合征,马富西综合征
多发性软骨瘤伴内脏海绵状血管瘤,马富西综合征
糠秕疱子菌毛囊炎,马拉色菌毛囊炎
马蹄形肾,马蹄肾
蹄铁肾,马蹄肾
蹄铁形肾,马蹄肾
全马蹄形肛周脓肿,马蹄形脓肿
马尾神经综合征,马尾综合征
板牙,马牙
上皮珠,马牙
Ⅴ型糖原累积病,麦卡德尔病
Ⅴ型糖原贮积病,麦卡德尔病
McArdle肌病,麦卡德尔病
第Ⅴ型糖原累积病,麦卡德尔病
糖原贮积病Ⅴ型,麦卡德尔病
Meckel憩室,麦克尔憩室
梅克尔憩室,麦克尔憩室
美克尔憩室,麦克尔憩室
麦毒,麦收皮炎
麦疥,麦收皮炎
麦芒皮炎,麦收皮炎
脉络膜黑瘤,脉络膜黑色素瘤
急性多灶性缺血性脉络膜病变,脉络膜缺血
地图状脉络膜视网膜炎,脉络膜新生血管
地图状脉络膜炎,脉络膜新生血管
匐行性脉络膜病变,脉络膜新生血管
匐行性脉络膜视网膜炎,脉络膜新生血管
匐行性脉络膜萎缩,脉络膜新生血管
匐行性脉络膜炎,脉络膜新生血管
脉络膜新生血管[视网膜下新生血管],脉络膜新生血管
脉络膜新生血管膜,脉络膜新生血管
脉络膜新生血管膜形成,脉络膜新生血管
盘周地图状轮状脉络膜病变,脉络膜新生血管
盘周轮状视网膜脉络膜退行变性,脉络膜新生血管
视盘旁中心性视网膜脉络膜炎,脉络膜新生血管
视网膜下新生血管,脉络膜新生血管
视网膜下新生血管膜,脉络膜新生血管
后葡萄膜炎,脉络膜炎
后色素层炎,脉络膜炎
脉络膜转移瘤,脉络膜转移癌
脉络膜转移性肿瘤,脉络膜转移癌
草痒症,螨虫皮炎
大麦痒,螨虫皮炎
稻草痒,螨虫皮炎
谷痒症,螨虫皮炎
螨皮炎,螨虫皮炎
螨性皮炎,螨虫皮炎
蒲荨麻疹样杂货痒,螨虫皮炎
肠道血吸虫病,曼森裂体吸虫引起的血吸虫病
CL,慢性白血病
CSR,慢性鼻窦炎
慢性病性贫血,慢性病贫血
细胞因子介导的贫血,慢性病贫血
慢性单纯性苔藓,慢性单纯性苔癣
慢性单纯性苔癣[神经性皮炎],慢性单纯性苔癣
神经性皮肤炎,慢性单纯性苔癣
神经性皮炎,慢性单纯性苔癣
慢性返流性肾病,慢性反流性肾病
慢性返流性肾病变,慢性反流性肾病
慢性逆流性肾病,慢性反流性肾病
慢性萎缩性肾盂肾炎,慢性反流性肾病
慢性唇炎,慢性非特异性唇炎
慢性肺心病,慢性肺源性心脏病
慢性肺原性心脏病,慢性肺源性心脏病
Jaccoud综合征,慢性风湿病后关节病
雅库综合征,慢性风湿病后关节病
慢性风湿病后关节病[Jaccoud综合征],慢性风湿病后关节病
慢性剥脱性皮炎,慢性红皮病
中耳骨疽,慢性化脓性中耳炎骨疡型
慢性化脓性中耳炎骨疡型[中耳骨疽],慢性化脓性中耳炎骨疡型
半侵袭性肺曲霉病,慢性坏死性肺曲霉病
Rotor综合征,慢性家族性非溶血性黄疸
慢性家族性非溶血性黄疸[Rotor综合征],慢性家族性非溶血性黄疸
慢性肾小管间质性肾炎,慢性间质性肾炎
慢性进行性部分癫痫持续状态[Rasmussen综合征],慢性进行性部分癫痫持续状态
Rasmussen综合征,慢性进行性部分癫痫持续状态
von Graefe眼肌病,慢性进行性眼外肌麻痹
慢性进行性外眼肌麻痹,慢性进行性眼外肌麻痹
慢性进行性眼外肌麻痹症,慢性进行性眼外肌麻痹
眼外肌进行性营养不良病,慢性进行性眼外肌麻痹
酒依赖综合征,慢性酒中毒
慢性酒精中毒,慢性酒中毒
慢性酒中毒综合征,慢性酒中毒
慢性非肉芽肿性溃疡性空肠回肠炎,慢性溃疡性非肉芽肿性空肠回肠炎
肌纤维织炎,慢性劳损性颈背部筋膜纤维织炎
纤维肌炎,慢性劳损性颈背部筋膜纤维织炎
纤维组织炎,慢性劳损性颈背部筋膜纤维织炎
功能性腰痛,慢性劳损性腰背痛
慢性下腰损伤,慢性劳损性腰背痛
慢性腰背肌劳损,慢性劳损性腰背痛
腰骶部劳损,慢性劳损性腰背痛
腰肌劳损,慢性劳损性腰背痛
腰臀肌筋膜炎,慢性劳损性腰背痛
CML,慢性粒细胞性白血病
慢粒,慢性粒细胞性白血病
慢性粒细胞白血病,慢性粒细胞性白血病
Chronic Myelogenous Leukemia,慢性粒细胞性白血病
CLL,慢性淋巴细胞白血病
慢淋,慢性淋巴细胞白血病
慢性淋巴细胞白血病[小淋巴细胞淋巴瘤],慢性淋巴细胞白血病
慢性淋巴细胞性白血病,慢性淋巴细胞白血病
小淋巴细胞淋巴瘤,慢性淋巴细胞白血病
Chronic Lymphocytic Leukemia,慢性淋巴细胞白血病
CLT,慢性淋巴细胞性甲状腺炎
慢性皮肤黏膜念珠菌病,慢性黏膜皮肤念珠菌病
慢性皮肤粘膜念珠菌病,慢性黏膜皮肤念珠菌病
慢性粘膜皮肤念珠菌病,慢性黏膜皮肤念珠菌病
慢性积脓,慢性脓胸
慢性下腹痛,慢性盆腔疼痛
慢性类单核白血球增多症,慢性疲劳综合征
雅痞症,慢性疲劳综合征
慢性葡萄膜炎[慢性色素膜炎],慢性葡萄膜炎
慢性色素膜炎,慢性葡萄膜炎
慢性查加斯病伴心肌炎,慢性恰加斯病伴心肌炎
慢性恰加斯氏病伴心肌炎,慢性恰加斯病伴心肌炎
慢性锥虫病伴心肌炎,慢性恰加斯病伴心肌炎
美洲锥虫病伴心肌炎,慢性恰加斯病伴心肌炎
慢性骨盆疼痛综合征,慢性前列腺炎
干性龋,慢性龋
儿童慢性肉芽肿,慢性肉芽肿病
慢性肉芽肿性疾病,慢性肉芽肿病
慢性肾脏病,慢性肾病
慢性肾功能衰竭,慢性肾功能不全
慢性肾衰,慢性肾功能不全
慢性肾衰竭,慢性肾功能不全
心肾衰竭,慢性肾衰竭合并心力衰竭
慢性肾小球性肾炎,慢性肾小球肾炎
慢性肾炎,慢性肾小球肾炎
CEP,慢性嗜酸粒细胞性肺炎
高嗜酸性粒细胞增多症,慢性嗜酸性粒细胞白血病
慢性嗜酸性粒细胞白血病[高嗜酸性粒细胞增多症],慢性嗜酸性粒细胞白血病
高嗜酸性粒细胞增多症伴缓解,慢性嗜酸性粒细胞白血病伴缓解
慢性嗜酸性粒细胞白血病伴缓解[高嗜酸性粒细胞增多症伴缓解],慢性嗜酸性粒细胞白血病伴缓解
慢性粒细胞性肺炎,慢性嗜酸性粒细胞性肺炎
慢性嗜酸性肺炎,慢性嗜酸性粒细胞性肺炎
迁延型嗜酸粒细胞增多症,慢性嗜酸性粒细胞性肺炎
迁延性肺嗜酸性粒细胞浸润症,慢性嗜酸性粒细胞性肺炎
慢性髓细胞白血病,慢性髓系白血病
慢性髓细胞性白血病,慢性髓系白血病
慢性髓性白血病,慢性髓系白血病
进行性播散性萎缩性皮炎,慢性萎缩性肢皮炎
慢性萎缩性肢端皮炎,慢性萎缩性肢皮炎
原发性弥漫性萎缩,慢性萎缩性肢皮炎
慢性肠胃炎,慢性胃肠炎
Riedel甲状腺炎,慢性纤维性甲状腺炎
Riedel甲状腺肿,慢性纤维性甲状腺炎
里德尔甲状腺炎,慢性纤维性甲状腺炎
里德尔甲状腺炎[木样甲状腺炎],慢性纤维性甲状腺炎
里德耳甲状腺肿,慢性纤维性甲状腺炎
里德耳氏甲状腺肿,慢性纤维性甲状腺炎
慢性甲状腺炎,慢性纤维性甲状腺炎
慢性木样甲状腺炎,慢性纤维性甲状腺炎
慢性侵袭性纤维性甲状腺炎,慢性纤维性甲状腺炎
慢性硬化性甲状腺炎,慢性纤维性甲状腺炎
木样甲状腺炎,慢性纤维性甲状腺炎
木样甲状腺肿,慢性纤维性甲状腺炎
侵袭性纤维性甲状腺炎,慢性纤维性甲状腺炎
纤维性甲状腺肿,慢性纤维性甲状腺炎
铸铁样甲状腺肿,慢性纤维性甲状腺炎
慢性房颤,慢性心房颤动
慢性心功能衰竭急性加重,慢性心功能不全急性加重
慢性心力衰竭伴急性加重,慢性心功能不全急性加重
慢性心力衰竭急性加重,慢性心功能不全急性加重
慢性心衰急性加重,慢性心功能不全急性加重
慢性充血性心力衰竭,慢性心力衰竭
慢性心功能不全,慢性心力衰竭
慢性心功能衰竭,慢性心力衰竭
慢性心衰,慢性心力衰竭
慢性充血性心力衰竭急性发作,慢性心力衰竭急性发作
慢性心功能不全急性发作,慢性心力衰竭急性发作
慢性心力衰竭伴有急性发作,慢性心力衰竭急性发作
慢性心衰急性发作,慢性心力衰竭急性发作
慢性血行播散型肺结核,慢性血行播散性肺结核
成人牙周炎,慢性牙周炎
慢性成人牙周炎,慢性牙周炎
慢性卡他性咽炎,慢性咽喉炎
慢性肥厚性咽炎,慢性咽炎
慢性颗粒性咽炎及咽侧炎,慢性咽炎
慢性吉兰-巴雷巴利综合征,慢性炎性脱鞘性多发性神经根神经病
慢性炎性脱鞘性多发性神经根神经病[慢性吉兰-巴雷巴利综合征],慢性炎性脱鞘性多发性神经根神经病
CIDP,慢性炎性脱髓鞘性多发性神经根神经病
腰痹,慢性腰背痛
慢性药物性肝损伤,慢性药物性肝病
慢性药物性肝损害,慢性药物性肝病
边缘性龈炎,慢性龈炎
单纯性龈炎,慢性龈炎
慢性边缘性龈炎,慢性龈炎
慢性龈缘炎,慢性龈炎
龈缘炎,慢性龈炎
增生性龈炎,慢性龈炎
Garré骨髓炎,慢性硬化性颌骨骨髓炎
Garre硬化性骨髓炎,慢性硬化性颌骨骨髓炎
慢性非化脓性硬化性骨髓炎,慢性硬化性颌骨骨髓炎
慢性肥厚型念珠菌性口炎,慢性增殖性念珠菌病
念珠菌性白斑,慢性增殖性念珠菌病
慢性粘连渗出性心包炎,慢性粘连性渗出性心包炎
慢性宫颈炎,慢性子宫颈炎
持久性房性心动过速,慢性自律性房性心动过速
持久性房性心动过速或无休止性房性心动过速,慢性自律性房性心动过速
慢性房性心动过速,慢性自律性房性心动过速
慢性自主性房性心动过速,慢性自律性房性心动过速
无休止性房性心动过速,慢性自律性房性心动过速
特发性纵隔纤维化,慢性纵隔炎
COPD,慢性阻塞性肺疾病
慢阻肺,慢性阻塞性肺疾病
AECOPD,慢性阻塞性肺疾病急性加重
COPD急性加重,慢性阻塞性肺疾病急性加重
慢性阻塞性肺病伴有急性加重,慢性阻塞性肺疾病急性加重
腮腺管炎,慢性阻塞性腮腺炎
盲袢综合征,盲襻综合征
盲襻综合症,盲襻综合征
盲曲部综合征,盲襻综合征
小肠污染综合征,盲襻综合征
小肠细菌过度生长,盲襻综合征
小肠淤积综合征,盲襻综合征
Cri du Chat Syndrome,猫叫综合征
累若纳(氏)综合征,猫叫综合征
滴虫病[毛滴虫病],毛滴虫病
毛发糠疹,毛发红糠疹
Pityriasis Rubra Pilaris,毛发红糠疹
毛发(角化性)红糠疹,毛发红糠疹
德佛礼太病,毛发红糠疹
红苔癣,毛发红糠疹
德佛札氏病,毛发红糠疹
多发性丘疹上皮瘤,毛发上皮瘤
多囊性腺性上皮瘤,毛发上皮瘤
毛囊纤维棘皮瘤,毛发上皮瘤
毛囊纤维上皮瘤,毛发上皮瘤
Darier病,毛发苔藓
达里埃病,毛发苔藓
鸡皮肤,毛发苔藓
毛发角化病,毛发苔藓
毛发苔癣,毛发苔藓
毛囊角化病,毛发苔藓
毛囊角化症,毛发苔藓
毛囊鳞癣,毛发苔藓
毛囊周角化病,毛发苔藓
毛周角化,毛发苔藓
毛周角化病,毛发苔藓
毛霉病,毛霉菌病
毛真菌病,毛霉菌病
Malherbe钙化性上皮瘤,毛母质瘤
钙化上皮瘤,毛母质瘤
甲床细胞瘤,毛母质瘤
马勒布钙化上皮瘤,毛母质瘤
马勒布氏钙化上皮瘤,毛母质瘤
毛基质瘤,毛母质瘤
毛束漏斗-infundibulo -matrix tumor,毛母质瘤
毛囊上皮瘤,毛囊瘤
毛囊痣,毛囊瘤
漏斗瘤,毛囊漏斗部肿瘤
Buckhart脓疱疮,毛囊脓疱病
毛囊皮脂腺囊性迷生瘤,毛囊皮脂腺囊性错构瘤
毛囊皮脂腺粘蛋白沉积症,毛囊性黏蛋白病
Siemen综合征,毛囊性鱼鳞病
秃发性毛发角化病,毛囊性鱼鳞病
脱发性棘状毛囊角化病,毛囊性鱼鳞病
脱发性毛发角化病,毛囊性鱼鳞病
发际疮,毛囊炎
风疳,毛囊炎
滤胞炎,毛囊炎
坐板疮,毛囊炎
Birt-Hogg-Dube综合征,毛盘瘤
毛盘状瘤,毛盘瘤
毛磐瘤,毛盘瘤
"Tongue, Hairy",毛舌
绒毛舌,毛舌
Rapunzel综合征,毛石肠梗阻综合征
白血病样网状内皮细胞增生,毛细胞白血病
