天泉乐欣,18种氨基酸注射液
给欣,盐酸氨溴索葡萄糖注射液
艾沐,盐酸氨溴索葡萄糖注射液
海天欣,盐酸氨溴索葡萄糖注射液
雷兴澳,盐酸氨溴索葡萄糖注射液
耐邦,盐酸氨溴索葡萄糖注射液
瑞特安,盐酸氨溴索葡萄糖注射液
帅克坦,盐酸氨溴索葡萄糖注射液
菼清,盐酸氨溴索葡萄糖注射液
替苏,盐酸氨溴索葡萄糖注射液
沐舒坦,盐酸氨溴索注射液
伊诺舒,盐酸氨溴索注射液
可达龙,盐酸胺碘酮片
可达龙,盐酸胺碘酮注射液
恩诺平,盐酸昂丹司琼胶囊
时泰,盐酸昂丹司琼胶囊
维泽,盐酸昂丹司琼氯化钠注射液
地力昕,盐酸昂丹司琼氯化钠注射液
恩诺平,盐酸昂丹司琼氯化钠注射液
恩复德,盐酸昂丹司琼氯化钠注射液
安斯欣,盐酸昂丹司琼氯化钠注射液
路维森,盐酸昂丹司琼氯化钠注射液
益舒宁,盐酸昂丹司琼氯化钠注射液
枢丹,盐酸昂丹司琼片
欧贝,盐酸昂丹司琼片
奕丰,盐酸昂丹司琼葡萄糖注射液
康达立特,盐酸昂丹司琼葡萄糖注射液
枢丹,盐酸昂丹司琼葡萄糖注射液
枢丹,盐酸昂丹司琼注射液
枢复宁,盐酸昂丹司琼注射液
新司汀,盐酸昂丹司琼注射液
富米汀,盐酸昂丹司琼注射液
欧贝,盐酸昂丹司琼注射液
倍诺喜,盐酸奥布卡因滴眼液
帕坦洛,盐酸奥洛他定滴眼液
阿洛刻,盐酸奥洛他定片
依静,盐酸奥昔布宁缓释片
捷赛,盐酸奥昔布宁胶囊
喘立清,盐酸班布特罗胶囊
汇杰,盐酸班布特罗片
帮备,盐酸班布特罗片
洛希,盐酸班布特罗片
立可菲,盐酸班布特罗片
洛汀新,盐酸贝那普利片
新亚力普,盐酸贝那普利片
元治,盐酸贝尼地平片
可力洛,盐酸贝尼地平片
倍尼,盐酸贝那普利片
敌亚平,盐酸贝尼地平片
洛汀新,盐酸贝尼地平片
信达怡,盐酸贝尼地平片
贝特舒,盐酸倍他洛尔滴眼液
卡尔仑,盐酸倍他洛尔片
利迈欣,盐酸倍他洛尔片
陪他啶,盐酸倍他司汀氯化钠注射液
西其汀,盐酸倍他司汀氯化钠注射液
飞赛乐,盐酸苯环壬酯片
夷友,盐酸吡格列酮分散片
安多健,盐酸吡格列酮分散片
万苏敏,盐酸吡格列酮分散片
安龙平,盐酸吡格列酮胶囊
顿灵,盐酸吡格列酮胶囊
贝唐宁,盐酸吡格列酮胶囊
倩尔,盐酸吡格列酮胶囊
瑞格临,盐酸吡格列酮胶囊
泰洛平,盐酸吡格列酮胶囊
佳普喜,盐酸吡格列酮口腔崩解片
毕康,盐酸吡格列酮片
瑞彤,盐酸吡格列酮片
艾可拓,盐酸吡格列酮片
卡司平,盐酸吡格列酮片
安可妥,盐酸吡格列酮片
艾汀,盐酸吡格列酮片
安洁德欣,盐酸吡硫醇葡萄糖注射液
天叔清,盐酸吡硫醇注射液
康力元,盐酸吡硫醇注射液
灵博康,盐酸吡硫醇注射液
信特,盐酸吡硫醇注射液
益首,盐酸吡硫醇注射液
英罗恩,盐酸吡硫醇注射液
开克,盐酸苄普地尔片
美普清,盐酸丙卡特罗口服溶液
可朋,盐酸丙卡特罗片
曼普特,盐酸丙卡特罗片
美普清,盐酸丙卡特罗片
佰达图,盐酸丙卡特罗气雾剂
爱尔凯因,盐酸丙美卡因滴眼液
培宁,盐酸丙哌维林片
华克,盐酸丙哌维林片
强痛定,盐酸布桂嗪注射液
迪坦妥,盐酸布那唑嗪片
孚答静,盐酸布替萘芬搽剂
特利达,盐酸布替萘芬喷剂
孚答静,盐酸布替萘芬乳膏
嘉瑞,盐酸布替萘芬乳膏
迈可抒,盐酸布替萘芬乳膏
齐嗪,盐酸川芎嗪氯化钠注射液
迈可达,盐酸川芎嗪氯化钠注射液
络达秦,盐酸川芎嗪氯化钠注射液
长富络达,盐酸川芎嗪氯化钠注射液
川信,盐酸川芎嗪氯化钠注射液
济复德,盐酸川芎嗪氯化钠注射液
利欣达,盐酸川芎嗪氯化钠注射液
联邦力迈秦,盐酸川芎嗪氯化钠注射液
迈卡希,盐酸川芎嗪氯化钠注射液
麦咯嗪,盐酸川芎嗪氯化钠注射液
天鉴,盐酸川芎嗪氯化钠注射液
天泉川舒,盐酸川芎嗪氯化钠注射液
欣诺康,盐酸川芎嗪氯化钠注射液
阿邦得,盐酸川芎嗪葡萄糖注射液
意欣,盐酸川芎嗪葡萄糖注射液
奥福,盐酸川芎嗪葡萄糖注射液
德益祥,盐酸川芎嗪葡萄糖注射液
利川,盐酸川芎嗪葡萄糖注射液
蜀乐维通,盐酸川芎嗪葡萄糖注射液
必利劲,盐酸达泊西汀片
达己苏,盐酸达克罗宁胶浆
百立泽,盐酸达拉他韦片
爱赛平,盐酸氮卓斯汀鼻喷剂
敏奇,盐酸氮卓斯汀鼻喷雾剂
爱赛平,盐酸氮卓斯汀鼻喷雾剂
敏奇,盐酸氮卓斯汀片
艾克朗,盐酸地尔硫䓬缓释胶囊
奥的镇,盐酸地尔硫䓬缓释胶囊
蒂尔丁,盐酸地尔硫䓬缓释胶囊
迪尔松,盐酸地尔硫䓬缓释胶囊
合贝爽,盐酸地尔硫䓬缓释胶囊(Ⅱ)
恬尔新,盐酸地尔硫䓬缓释片
迪尔欣 ,盐酸地尔硫䓬缓释片
芊克,盐酸地尔硫䓬控释胶囊
恬尔心,盐酸地尔硫䓬片
合心爽,盐酸地尔硫䓬片
海王,盐酸地尔硫䓬片
眩晕停,盐酸地芬尼多片
舒美奋,盐酸丁丙诺啡舌下片
步复迈,盐酸丁咯地尔缓释片
西丁林,盐酸丁咯地尔胶囊
欣智明,盐酸丁咯地尔口服溶液
步复迈,盐酸丁咯地尔氯化钠注射液
赛莱乐,盐酸丁咯地尔片
意速,盐酸丁咯地尔片
绪络菱,盐酸丁咯地尔片
世多泰,盐酸丁咯地尔片
意速,盐酸丁咯地尔注射液
活诺林,盐酸丁咯地尔注射液
弗斯兰,盐酸丁咯地尔注射液
赛莱乐,盐酸丁咯地尔注射液
利宁,盐酸丁卡因胶浆
苏新,盐酸丁螺环酮片
一舒,盐酸丁螺环酮片
奇比特,盐酸丁螺环酮片
欣百达,盐酸度洛西汀肠溶胶囊
奥思平,盐酸度洛西汀肠溶片
滨纷,盐酸多巴酚丁胺葡萄糖注射液
赛灵斯,盐酸多奈哌齐胶囊
盖菲,盐酸多奈哌齐胶囊
诗乐普,盐酸多奈哌齐片
诺冲,盐酸多奈哌齐片
思博海,盐酸多奈哌齐片
安理申,盐酸多奈哌齐片
阿瑞斯,盐酸多奈哌齐片
扶斯克,盐酸多奈哌齐片
楷莱,盐酸多柔比星脂质体注射液
里葆多,盐酸多柔比星脂质体注射液
普爱宁,盐酸多塞平乳膏
丽科宁,盐酸多塞平乳膏
波达,盐酸多沙普仑注射液
佳苏仑,盐酸多沙普仑注射液
永喜,盐酸多西环素肠溶胶囊
多迪,盐酸多西环素分散片
强力霉素,盐酸多西环素片
邯康,盐酸多西环素片
特罗凯,盐酸厄洛替尼片
枢丹,盐酸恩丹西酮注射液
盐酸昂丹司琼注射液,盐酸恩丹西酮注射液
君力达,盐酸二甲双胍肠溶胶囊
君士达新,盐酸二甲双胍肠溶片
山姆士,盐酸二甲双胍缓释胶囊
唐落,盐酸二甲双胍缓释胶囊
佰思平,盐酸二甲双胍缓释胶囊
卜可,盐酸二甲双胍缓释片
亿恒,盐酸二甲双胍缓释片
泰白,盐酸二甲双胍缓释片
麦克罗辛,盐酸二甲双胍缓释片
麦特美,盐酸二甲双胍缓释片
仁欣,盐酸二甲双胍缓释片
悦达宁,盐酸二甲双胍缓释片
唐必呋,盐酸二甲双胍缓释片
倍顺,盐酸二甲双胍缓释片
至力,盐酸二甲双胍缓释片
德艾欣,盐酸二甲双胍缓释片
都乐宁,盐酸二甲双胍缓释片
格华止 ,盐酸二甲双胍缓释片
弘飞康,盐酸二甲双胍缓释片
降力舒,盐酸二甲双胍缓释片
津真型,盐酸二甲双胍缓释片
力乐尔,盐酸二甲双胍缓释片
美哒灵,盐酸二甲双胍缓释片
名诺,盐酸二甲双胍缓释片
齐佶,盐酸二甲双胍缓释片
清旷,盐酸二甲双胍缓释片
瑞久,盐酸二甲双胍缓释片
瑞诺舒,盐酸二甲双胍缓释片
圣邦杰,盐酸二甲双胍缓释片
唐格,盐酸二甲双胍缓释片
唐坦,盐酸二甲双胍缓释片
维尔唐,盐酸二甲双胍缓释片
欣唐屏,盐酸二甲双胍缓释片
众氏得,盐酸二甲双胍缓释片
三肖平,盐酸二甲双胍胶囊
格华止,盐酸二甲双胍片
迪化唐锭,盐酸二甲双胍片
美迪康,盐酸二甲双胍片
泰生,盐酸二氧丙嗪片
艾力达,盐酸伐地那非片
丽科分,盐酸伐昔洛韦分散片
新尤可,盐酸伐昔洛韦分散片
阿迈新,盐酸伐昔洛韦缓释片
明竹欣,盐酸伐昔洛韦胶囊
明竹欣,盐酸伐昔洛韦颗粒
维德思,盐酸伐昔洛韦片
星伐威,盐酸伐昔洛韦片
明竹欣,盐酸伐昔洛韦片
君亭,盐酸伐昔洛韦片
丽珠威,盐酸伐昔洛韦片
法乐美,盐酸伐昔洛韦片
立生威,盐酸伐昔洛韦片
川威,盐酸法舒地尔注射液
依立卢,盐酸法舒地尔注射液
怡度,盐酸非那吡啶胶囊
瑞菲,盐酸非索非那定片
乐敏,盐酸非索非那定片
阿特拉,盐酸非索非那定片
莱多菲,盐酸非索非那定片
赛乐西,盐酸非索非那定片
毕馨,盐酸非索非那定片
敏杰,盐酸非索非那定片
西比灵,盐酸氟桂利嗪胶囊
弗瑞林,盐酸氟桂利嗪胶囊
奥力保克,盐酸氟桂利嗪胶囊
花欣,盐酸氟桂利嗪口服溶液
孚瑞尔,盐酸氟桂利嗪片
金开克,盐酸氟西汀肠溶片
百优解,盐酸氟西汀分散片
百优解,盐酸氟西汀胶囊
优克,盐酸氟西汀胶囊
奥麦伦,盐酸氟西汀胶囊
艾旭,盐酸氟西汀胶囊
奥贝汀 ,盐酸氟西汀胶囊
开克,盐酸氟西汀片
安斯平,盐酸格拉司琼胶囊
欧普定,盐酸格拉司琼胶囊
古迪,盐酸格拉司琼胶囊
巴泰,盐酸格拉司琼氯化钠注射液
中宝伊格,盐酸格拉司琼氯化钠注射液
百宏,盐酸格拉司琼氯化钠注射液
润丹,盐酸格拉司琼氯化钠注射液
大生欣尔,盐酸格拉司琼氯化钠注射液
东宝欧可宁,盐酸格拉司琼氯化钠注射液
洁丹,盐酸格拉司琼氯化钠注射液
莱琪,盐酸格拉司琼氯化钠注射液
凌顶,盐酸格拉司琼氯化钠注射液
唯坤,盐酸格拉司琼氯化钠注射液
图婷,盐酸格拉司琼氯化钠注射液
新革,盐酸格拉司琼氯化钠注射液
枢星,盐酸格拉司琼片
佳顺,盐酸格拉司琼片
凯特瑞,盐酸格拉司琼片
雷赛隆,盐酸格拉司琼片
天泉康欣,盐酸格拉司琼葡萄糖注射液
舒尔止,盐酸格拉司琼葡萄糖注射液
比立,盐酸格拉司琼葡萄糖注射液
柯瑞琦,盐酸格拉司琼葡萄糖注射液
艾亭,盐酸格拉司琼注射液
欧智宁,盐酸格拉司琼注射液
奇克欧,盐酸格拉司琼注射液
凯特瑞,盐酸格拉司琼注射液
奇芬,盐酸格拉司琼注射液
枢星,盐酸格拉司琼注射液
格奈雅,盐酸格拉司琼葡萄糖注射液
格瑞同,盐酸格拉司琼葡萄糖注射液
海诺康,盐酸格拉司琼葡萄糖注射液
琼沙奥,盐酸格拉司琼葡萄糖注射液
盛金诺,盐酸格拉司琼葡萄糖注射液
斯诺康欣,盐酸格拉司琼葡萄糖注射液
新洁明,盐酸环丙沙星滴眼液
巴美洛,盐酸环丙沙星滴眼液
达维邦,盐酸环丙沙星凝胶
悉复欢,盐酸环丙沙星片
坤宁,盐酸环丙沙星栓
曼舒林,盐酸环丙沙星栓
贝斯特,盐酸环丙沙星栓
喹诺仙,盐酸环丙沙星栓
林青,盐酸环丙沙星栓
达刻欣,盐酸环丙沙星阴道泡腾片
赛飞杰,盐酸环喷托酯滴眼液
盐酸小檗碱片,盐酸黄连素片
吉时达,盐酸黄酮哌酯片
洛沃克,盐酸黄酮哌酯片
渡洛捷,盐酸黄酮哌酯片
星光灵,盐酸黄酮哌酯片
优必达,盐酸黄酮哌酯片
舒尔达,盐酸黄酮哌酯片
畅尔达,盐酸黄酮哌酯片
津源灵,盐酸黄酮哌酯片
来佳,盐酸加替沙星氯化钠注射液
来佳,盐酸加替沙星片
利欧,盐酸加替沙星片
塞每能,盐酸甲氯芬酯分散片
健脑素,盐酸甲氯芬酯胶囊
特维知,盐酸甲氯芬酯胶囊
斯康杜尼,盐酸甲哌卡因注射液
胃复安针,盐酸甲氧氯普胺注射液
诺复康,盐酸甲氧明注射液
太之奥,盐酸金刚乙胺颗粒
立安,盐酸金刚乙胺口服溶液
立安,盐酸金刚乙胺片
金迪纳,盐酸金刚乙胺片
津彤,盐酸金刚乙胺糖浆
净宁,盐酸精氨酸葡萄糖注射液
华士艾尔,盐酸精氨酸葡萄糖注射液
康司科韦,盐酸精氨酸葡萄糖注射液
普洛川,盐酸精氨酸葡萄糖注射液
美开朗,盐酸卡替洛尔滴眼液
欣忆康,盐酸克林霉素氯化钠注射液
天泉维康,盐酸克林霉素氯化钠注射液
华阳再欣,盐酸克林霉素氯化钠注射液
邦韦林欣,盐酸克林霉素氯化钠注射液
倍禾,盐酸克林霉素氯化钠注射液
福司卡,盐酸克林霉素氯化钠注射液
捷立,盐酸克林霉素氯化钠注射液
帅克佳尔,盐酸克林霉素氯化钠注射液
特纳斯,盐酸克林霉素氯化钠注射液
信徕,盐酸克林霉素氯化钠注射液
旭洛,盐酸克林霉素葡萄糖注射液
力弘,盐酸克林霉素注射液
凯莱克林,盐酸克林霉素棕榈酸酯分散片
舍悦,盐酸克林霉素棕榈酸酯干混悬剂
可尔生,盐酸克林霉素棕榈酸酯颗粒
益恒,盐酸喹那普利片
普乐康,盐酸赖氨酸氯化钠注射液
舒朗,盐酸赖氨酸氯化钠注射液
彼洛彤,盐酸赖氨酸氯化钠注射液
君傲,盐酸赖氨酸葡萄糖注射液
包林,盐酸赖氨酸葡萄糖注射液
慈星,盐酸赖氨酸葡萄糖注射液
路维彤,盐酸赖氨酸葡萄糖注射液
思弗提,盐酸赖氨酸葡萄糖注射液
泰迪特,盐酸赖氨酸葡萄糖注射液
泰利星,盐酸赖氨酸葡萄糖注射液
镇通,盐酸赖氨酸注射液
再宁平,盐酸乐卡地平片
易维特,盐酸雷洛昔芬片
贝邦,盐酸雷洛昔芬片
奈西雅,盐酸雷莫司琼口内崩解片
奈西雅,盐酸雷莫司琼注射液
瑞欣宁,盐酸雷莫司琼注射液
善得康,盐酸雷尼替丁胶囊
兰百幸,盐酸雷尼替丁胶囊
津卫和,盐酸雷尼替丁咀嚼片
可奥斯,盐酸雷尼替丁氯化钠注射液
东易,盐酸雷尼替丁氯化钠注射液
菁璐,盐酸雷尼替丁氯化钠注射液
孚卫,盐酸雷尼替丁氯化钠注射液
普而太,盐酸雷尼替丁氯化钠注射液
安宝,盐酸利托君片
安宝,盐酸利托君注射液
洁霉素,盐酸林可霉素注射液
济民力克,盐酸林可霉素注射液
悦康优,盐酸林可霉素注射液
丽可胜,盐酸林可霉素注射液
泰必利,盐酸硫必利片
维奇,盐酸硫必利注射液
利达新,盐酸硫利达嗪片
卡力,盐酸芦氟沙星片
康赞,盐酸芦氟沙星片
珍欣,盐酸仑氨西林片
奥洛华,盐酸罗格列酮胶囊
维戈洛,盐酸罗格列酮片
宜力喜,盐酸罗格列酮片
圣敏,盐酸罗格列酮片
耐乐品,盐酸罗哌卡因注射液
卓坦,盐酸罗哌卡因注射液
恒洛,盐酸罗哌卡因注射液
山梗菜碱,盐酸洛贝林注射液
后普,盐酸洛美利嗪胶囊
西瑞利,盐酸洛美利嗪胶囊
清天,盐酸洛美利嗪片
希静,盐酸洛美利嗪片
绍容,盐酸洛美利嗪片
罗美达,盐酸洛美利嗪片
特苏欣,盐酸洛美利嗪片
亚伊加,盐酸洛美利嗪片
立朗,盐酸洛美沙星滴耳液
爱邦,盐酸洛美沙星滴耳液
哥台,盐酸洛美沙星滴眼液
乐芬,盐酸洛美沙星滴眼液
百夜星,盐酸洛美沙星分散片
迁迪,盐酸洛美沙星胶囊
逸林,盐酸洛美沙星胶囊
乐贝新,盐酸洛美沙星胶囊
洛威,盐酸洛美沙星胶囊
奇米高,盐酸洛美沙星胶囊
诺灵盾,盐酸洛美沙星胶囊
奇洛先,盐酸洛美沙星胶囊
中宝洛泰,盐酸洛美沙星氯化钠注射液
多龙,盐酸洛美沙星氯化钠注射液
维普,盐酸洛美沙星片
乐贝新,盐酸洛美沙星片
喹泰,盐酸洛美沙星片
奇洛先,盐酸洛美沙星片
美西肯,盐酸洛美沙星片
欣立威,盐酸洛美沙星片
庆兴,盐酸洛美沙星葡萄糖注射液
益禄,盐酸洛美沙星葡萄糖注射液
哥台,盐酸洛美沙星乳膏
吉平,盐酸洛美沙星乳膏
卓悦,盐酸洛美沙星眼用凝胶
禾乐新,盐酸洛美沙星注射液
星洛,盐酸洛美沙星注射液
喹泰,盐酸洛美沙星注射液
百德,盐酸洛美沙星注射液
贝洛特,盐酸洛美沙星注射液
多龙,盐酸洛美沙星注射液
孚悦,盐酸洛美沙星注射液
龙化素,盐酸洛美沙星注射液
洛威,盐酸洛美沙星注射液
易蒙停,盐酸洛哌丁胺胶囊
腹泻啶,盐酸洛哌丁胺胶囊
罗宝迈,盐酸洛哌丁胺胶囊
道敏奇,盐酸氯雷他定胶囊
金苏瑞,盐酸氯雷他定片
安拿芬尼,盐酸氯米帕明片
氯丙米嗪,盐酸氯米帕明注射液
凯宁,盐酸氯普鲁卡因注射液
可谱诺,盐酸氯普鲁卡因注射液
路滴美,盐酸马普替林片
美菲康,盐酸吗啡缓释片
易倍申,盐酸美金刚片
安可清,盐酸美他环素片
寿堂,盐酸美西律片
达爽,盐酸咪达普利片
管通,盐酸米多君片
米维,盐酸米多君片
安得林,盐酸米多君片
康尼,盐酸米诺环素胶囊
玫满,盐酸米诺环素胶囊
美克威,盐酸米诺环素胶囊
美侬,盐酸米诺环素胶囊
美诺星,盐酸米诺环素片
派丽奥,盐酸米诺环素软膏
泽康,盐酸米托蒽醌葡萄糖注射液
米西宁,盐酸米托蒽醌注射液
诺肖林,盐酸米托蒽醌注射液
乙吗噻嗪,盐酸莫雷西嗪片
奥一定,盐酸莫索尼定片
美迪尔舒,盐酸莫索尼定片
美罗平,盐酸莫索尼定片
雅尼定,盐酸莫索尼定片
爻克,盐酸莫索尼定片
拜复乐,盐酸莫西沙星氯化钠注射液
拜复乐,盐酸莫西沙星片
佰美诺,盐酸莫西沙星注射液
风度,盐酸纳洛酮舌下片
苏诺针,盐酸纳洛酮注射液
舒安神,盐酸纳洛酮注射液
金尔伦,盐酸纳洛酮注射液
欣晴,盐酸纳洛酮注射液
优丁林,盐酸纳洛酮注射液
抒纳,盐酸纳美芬注射液
乐萌,盐酸纳美芬注射液
金美芬,盐酸纳美芬注射液
诺欣生,盐酸纳曲酮片
纳克莱,盐酸纳曲酮片
格尔平,盐酸奈福泮缓释片
福卢可,盐酸奈福泮葡萄糖注射液
欣欣,盐酸萘替芬乳膏
佩尔,盐酸尼卡地平缓释胶囊
欣舒力达,盐酸尼卡地平氯化钠注射液
丹颐,盐酸尼卡地平葡萄糖注射液
卡舒泰,盐酸尼卡地平葡萄糖注射液
贝尔平,盐酸尼卡地平注射液
佩尔,盐酸尼卡地平注射液
赛乐特,盐酸帕罗西汀片
乐友,盐酸帕罗西汀片
舒坦罗,盐酸帕罗西汀片
仙立,盐酸尼卡地平注射液
毓罗通,盐酸尼卡地平注射液
诺威,盐酸帕洛诺司琼注射液
欧赛,盐酸帕洛诺司琼注射液
吉欧停,盐酸帕洛诺司琼注射液
止若,盐酸帕洛诺司琼注射液
专注达,盐酸哌甲酯缓释片
森福罗,盐酸普拉克索缓释片
森福罗,盐酸普拉克索片
悦复隆,盐酸普罗帕酮片
心律平,盐酸普罗帕酮片
海力欣,盐酸普萘洛尔缓释片
百尔洛,盐酸普萘洛尔缓释片
普乐欣,盐酸普萘洛尔缓释片
心得安,盐酸普萘洛尔片
卓乐定,盐酸齐拉西酮胶囊
思贝格,盐酸齐拉西酮胶囊
力复君安,盐酸齐拉西酮片
欧斯啉,盐酸羟甲唑啉滴眼液
达芬霖,盐酸羟甲唑啉喷雾剂
奥施康定,盐酸羟考酮缓释片
安泰乐,盐酸羟嗪片
锐宁,盐酸氢吗啡酮注射液
诺仕帕,盐酸屈他维林片
诺仕帕,盐酸屈他维林注射液
曲通,盐酸曲马多分散片
替马尔,盐酸曲马多缓释片
舒敏,盐酸曲马多缓释片
泰德洛,盐酸曲马多缓释片
奇曼丁,盐酸曲马多缓释片
倍平,盐酸曲马多缓释片
曲同康,盐酸曲马多缓释片
奇迈特,盐酸曲马多缓释片
曲腾,盐酸曲马多缓释片
愈通,盐酸曲马多缓释片
祥阳,盐酸曲马多分散片
曲同康,盐酸曲马多缓释片（Ⅱ）
舒敏,盐酸曲马多胶囊
麦道马隆,盐酸曲马多胶囊
区明,盐酸曲马多氯化钠注射液
奇迈特,盐酸曲马多片
奇迈特,盐酸曲马多栓
奇迈特,盐酸曲马多注射液
冰宁,盐酸曲马多氯化钠注射液
华捷威,盐酸曲马多氯化钠注射液
舒敏,盐酸曲马多注射液
根克通,盐酸曲美他嗪片
万爽力,盐酸曲美他嗪片
刻免,盐酸曲普利啶胶囊
每素玉,盐酸曲唑酮片
美抒玉,盐酸曲唑酮片
美时玉,盐酸曲唑酮片
舒绪,盐酸曲唑酮片
新福林,盐酸去氧肾上腺素注射液
苏亚,盐酸塞利洛尔胶囊
得来恩,盐酸塞利洛尔片
泰禄达,盐酸噻氯匹定缓释片
莫帕尼,盐酸噻氯匹定胶囊
板苏,盐酸噻氯匹定胶囊
邦解清,盐酸噻氯匹定胶囊
彼迪力得,盐酸噻氯匹定胶囊
辰欣,盐酸噻氯匹定胶囊
玉川通,盐酸噻氯匹定胶囊
抵克立得,盐酸噻氯匹定片
得可乐,盐酸噻氯匹定片
诺通,盐酸赛洛唑啉鼻用喷雾剂
诺通,盐酸赛洛唑啉滴鼻液
天诚诺尔,盐酸赛洛唑啉滴鼻液
安步乐克,盐酸沙格雷酯片
左洛复,盐酸舍曲林片
乐元,盐酸舍曲林片
快五优,盐酸舍曲林片
西同静,盐酸舍曲林片
贝玉,盐酸舍曲林片
彼迈乐,盐酸舍曲林片
津得斯,盐酸舍曲林片
唯他停,盐酸舍曲林片
伊素明,盐酸舍曲林片
应思调,盐酸舍曲林片
利舒安,盐酸肾上腺素注射液
思吉宁,盐酸司来吉兰片
咪多吡,盐酸司来吉兰片
金思平,盐酸司来吉兰片
辅安,盐酸司来吉兰片
付肾素,盐酸肾上腺素注射液
齐齐,盐酸司他斯汀片
霸奇,盐酸四环素片
伟特,盐酸索他洛尔片
济迪,盐酸索他洛尔片
金绿欣,盐酸索他洛尔片
诺恩,盐酸索他洛尔片
施太可,盐酸索他洛尔片
坦释,盐酸索他洛尔片
喜安林,盐酸索他洛尔片
伊缓,盐酸索他洛尔注射液
齐索,盐酸坦洛新缓释胶囊
必坦,盐酸坦洛新缓释胶囊
积大本特,盐酸坦洛新缓释片
哈乐,盐酸坦索罗辛缓释胶囊
必坦,盐酸坦索罗辛缓释胶囊
坦释,盐酸索他洛尔注射液
倍佳,盐酸特比萘芬凝胶
采特,盐酸特比萘芬喷雾剂
丁克,盐酸特比萘芬喷雾剂
兰美抒,盐酸特比萘芬片
倍佳,盐酸特比萘芬片
丁克,盐酸特比萘芬片
兰美抒,盐酸特比萘芬乳膏
丁克,盐酸特比萘芬乳膏
丁克,盐酸特比萘芬软膏
丁克,盐酸特比萘芬阴道泡腾片
泰乐,盐酸特拉唑嗪胶囊
派速,盐酸特拉唑嗪胶囊
罗迪尔,盐酸特拉唑嗪胶囊
可派,盐酸特拉唑嗪胶囊
欧得曼,盐酸特拉唑嗪胶囊
阿美利特,盐酸特拉唑嗪胶囊
均益,盐酸特拉唑嗪胶囊
悦克,盐酸特拉唑嗪胶囊
正舒,盐酸特拉唑嗪胶囊
施艾特,盐酸特拉唑嗪片
马沙尼,盐酸特拉唑嗪片
高特灵,盐酸特拉唑嗪片
彼孚特,盐酸特比萘芬喷雾剂
欣维宁,盐酸替罗非班氯化钠注射液
艾卡特,盐酸替罗非班注射液
凯莱通,盐酸替扎尼定片
畅邦,盐酸替扎尼定片
速欣康,盐酸头孢他美酯分散片
康迈欣,盐酸头孢他美酯干混悬剂
安素美,盐酸头孢他美酯干混悬剂
华仙美,盐酸头孢他美酯胶囊
安素美,盐酸头孢他美酯胶囊
安塞他美,盐酸头孢他美酯胶囊
力欣美,盐酸头孢他美酯胶囊
派威保,盐酸头孢他美酯片
联邦赛福美,盐酸头孢他美酯片
特普欣,盐酸头孢他美酯片
康迪欣,盐酸头孢他美酯片
代宁,盐酸头孢他美酯片
威锐,盐酸头孢他美酯片
珍良,盐酸头孢他美酯片
康迈欣,盐酸头孢他美酯片
择思达,盐酸托莫西汀胶囊
脑脉宁胶囊,盐酸托哌酮胶囊
妥立士宁,盐酸托烷司琼胶囊
司坦美,盐酸托烷司琼胶囊
维瑞特,盐酸托烷司琼胶囊
迪欧平,盐酸托烷司琼胶囊
欣顺尔,盐酸托烷司琼胶囊
尼泰美,盐酸托烷司琼胶囊
赛格恩,盐酸托烷司琼胶囊
齐琼,盐酸托烷司琼氯化钠注射液
盖格恩,盐酸托烷司琼氯化钠注射液
和太,盐酸托烷司琼葡萄糖注射液
岩迪,盐酸托烷司琼注射液
维瑞特,盐酸托烷司琼注射液
妥立士宁,盐酸托烷司琼注射液
普洛林,盐酸托烷司琼注射液
赛格恩,盐酸托烷司琼注射液
欣贝,盐酸托烷司琼注射液
欧必亭,盐酸托烷司琼注射液
广迪,盐酸托烷司琼注射液
确芝杜,盐酸托烷司琼注射液
欣泽,盐酸拓扑替康胶囊
丽珠威,盐酸万乃洛韦片
盐酸伐昔洛韦片,盐酸万乃洛韦片
奥地迈尔,盐酸维拉帕米缓释胶囊
缓释异搏定,盐酸维拉帕米缓释片
盖衡,盐酸维拉帕米缓释片
诺富生,盐酸维拉帕米缓释胶囊
异搏定,盐酸维拉帕米片
怡诺思,盐酸文拉法辛缓释胶囊
博乐欣,盐酸文拉法辛胶囊
利喜定,盐酸乌拉地尔注射液
亚宁定,盐酸乌拉地尔注射液
长托宁,盐酸戊乙奎醚注射液
新芬美琳,盐酸西布曲明胶囊
澳曲轻,盐酸西布曲明胶囊
衡韵,盐酸西布曲明胶囊
可秀,盐酸西布曲明胶囊
苗乐,盐酸西布曲明胶囊
诺美亭,盐酸西布曲明胶囊
曲景,盐酸西布曲明胶囊
曲美,盐酸西布曲明胶囊
申之花,盐酸西布曲明胶囊
淑乐,盐酸西布曲明胶囊
希青,盐酸西布曲明胶囊
盖平,盐酸西那卡塞片
杰捷,盐酸西替利嗪滴剂
仙特明,盐酸西替利嗪滴剂
喜宁,盐酸西替利嗪分散片
路成,盐酸西替利嗪胶囊
伊维妥,盐酸西替利嗪胶囊
怡蒙,盐酸西替利嗪胶囊
盈信美舒,盐酸西替利嗪胶囊
迪迪,盐酸西替利嗪胶囊
联双,盐酸西替利嗪片
昔利,盐酸西替利嗪片
西可韦,盐酸西替利嗪片
赛特赞,盐酸西替利嗪片
仙利特,盐酸西替利嗪片
贝分,盐酸西替利嗪片
